2025-10-26 02:04:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24434s, Memory: 104.07/135.00MB, CPU Cores: 8, Requests: 0, Connections: 19
2025-10-26 02:05:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24494s, Memory: 104.10/135.00MB, CPU Cores: 8, Requests: 0, Connections: 32
2025-10-26 02:06:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24554s, Memory: 104.17/135.00MB, CPU Cores: 8, Requests: 0, Connections: 39
2025-10-26 02:07:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24614s, Memory: 104.25/135.00MB, CPU Cores: 8, Requests: 0, Connections: 8
2025-10-26 02:08:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24674s, Memory: 104.33/135.00MB, CPU Cores: 8, Requests: 0, Connections: 20
2025-10-26 02:09:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24734s, Memory: 104.44/135.00MB, CPU Cores: 8, Requests: 0, Connections: 25
2025-10-26 02:10:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24794s, Memory: 104.53/135.00MB, CPU Cores: 8, Requests: 0, Connections: 34
2025-10-26 02:11:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24854s, Memory: 104.57/135.00MB, CPU Cores: 8, Requests: 0, Connections: 25
2025-10-26 02:12:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24914s, Memory: 104.68/135.00MB, CPU Cores: 8, Requests: 0, Connections: 10
2025-10-26 02:13:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24974s, Memory: 104.72/135.00MB, CPU Cores: 8, Requests: 0, Connections: 20
2025-10-26 02:14:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25034s, Memory: 104.79/135.00MB, CPU Cores: 8, Requests: 0, Connections: 48
2025-10-26 02:15:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25094s, Memory: 104.89/135.00MB, CPU Cores: 8, Requests: 0, Connections: 16
2025-10-26 02:16:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25154s, Memory: 104.97/135.00MB, CPU Cores: 8, Requests: 0, Connections: 8
2025-10-26 02:17:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25214s, Memory: 105.03/135.00MB, CPU Cores: 8, Requests: 0, Connections: 42
2025-10-26 02:18:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25274s, Memory: 105.03/135.00MB, CPU Cores: 8, Requests: 0, Connections: 39
2025-10-26 02:19:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25334s, Memory: 105.17/135.00MB, CPU Cores: 8, Requests: 0, Connections: 28
2025-10-26 02:20:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25394s, Memory: 105.32/135.00MB, CPU Cores: 8, Requests: 0, Connections: 13
2025-10-26 02:21:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25454s, Memory: 105.32/135.00MB, CPU Cores: 8, Requests: 0, Connections: 39
2025-10-26 02:22:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25514s, Memory: 105.43/135.00MB, CPU Cores: 8, Requests: 0, Connections: 25
2025-10-26 02:23:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25574s, Memory: 105.54/135.00MB, CPU Cores: 8, Requests: 0, Connections: 42
2025-10-26 02:24:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25634s, Memory: 105.58/135.00MB, CPU Cores: 8, Requests: 0, Connections: 25
2025-10-26 02:25:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25694s, Memory: 106.64/135.00MB, CPU Cores: 8, Requests: 0, Connections: 36
2025-10-26 02:26:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25754s, Memory: 108.92/135.00MB, CPU Cores: 8, Requests: 0, Connections: 22
2025-10-26 02:27:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25814s, Memory: 108.99/135.00MB, CPU Cores: 8, Requests: 0, Connections: 43
2025-10-26 02:28:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25874s, Memory: 109.02/135.00MB, CPU Cores: 8, Requests: 0, Connections: 22
2025-10-26 02:29:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 25934s, Memory: 109.09/135.00MB, CPU Cores: 8, Requests: 0, Connections: 37
